Env,Size,Reward type,Game id,Final reward,Num edges,t* index,density,avg_degree,max_degree,avg_clustering,num_components,avg_shortest_path
Global,13,complete,26,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,27,0.0,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258741,1,1.205128205128205
Global,13,complete,28,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,29,-0.009295215085458608,61,6,0.782051282051282,9.384615384615385,12,0.8701631701631702,1,1.2179487179487178
Global,13,complete,30,-2.842170943040401e-14,63,7,0.8076923076923077,9.692307692307692,12,0.8825174825174825,1,1.1923076923076923
Global,13,complete,31,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,32,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,33,2.842170943040401e-14,64,7,0.8205128205128205,9.846153846153847,12,0.8857808857808857,1,1.1794871794871795
Global,13,complete,34,2.842170943040401e-14,62,7,0.7948717948717948,9.538461538461538,12,0.8815850815850816,1,1.205128205128205
Global,13,complete,35,1.4210854715202004e-14,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258743,1,1.205128205128205
Global,13,complete,36,1.4210854715202004e-14,64,7,0.8205128205128205,9.846153846153847,12,0.8857808857808857,1,1.1794871794871795
Global,13,complete,37,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,38,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,39,-0.9633823642970896,61,7,0.782051282051282,9.384615384615385,12,0.8832667332667332,1,1.2179487179487178
Global,13,complete,40,-0.009295215085444397,61,6,0.782051282051282,9.384615384615385,12,0.8701631701631702,1,1.2179487179487178
Global,13,complete,41,0.0,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258741,1,1.205128205128205
Global,13,complete,42,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,43,-2.842170943040401e-14,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258743,1,1.205128205128205
Global,13,complete,44,-1.4210854715202004e-14,63,7,0.8076923076923077,9.692307692307692,12,0.8825174825174825,1,1.1923076923076923
Global,13,complete,45,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,46,0.0,63,7,0.8076923076923077,9.692307692307692,12,0.8825174825174825,1,1.1923076923076923
Global,13,complete,47,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,48,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,49,1.4210854715202004e-14,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258743,1,1.205128205128205
Global,13,central,0,0.0,63,7,0.8076923076923077,9.692307692307692,12,0.8911421911421912,1,1.1923076923076923
Global,13,central,1,-0.055039567648691445,63,7,0.8076923076923077,9.692307692307692,12,0.8846153846153846,1,1.1923076923076923
Global,13,central,2,-1.4210854715202004e-14,61,7,0.782051282051282,9.384615384615385,12,0.8865967365967365,1,1.2179487179487178
Global,13,central,3,-2.842170943040401e-14,64,7,0.8205128205128205,9.846153846153847,12,0.8887723387723389,1,1.1794871794871795
Global,13,central,4,-0.763932022500228,65,7,0.8333333333333334,10.0,12,0.8945609945609945,1,1.1666666666666667
Global,13,central,5,0.0,63,7,0.8076923076923077,9.692307692307692,12,0.8911421911421912,1,1.1923076923076923
Global,13,central,6,-0.014824402234353329,63,7,0.8076923076923077,9.692307692307692,12,0.88997668997669,1,1.1923076923076923
Global,13,central,7,-0.01482440223436754,62,7,0.7948717948717948,9.538461538461538,12,0.8841103341103342,1,1.205128205128205
Global,13,central,8,-0.811547324961623,61,7,0.782051282051282,9.384615384615385,12,0.871167721167721,1,1.2179487179487178
Global,13,central,9,-0.05503956764871987,63,7,0.8076923076923077,9.692307692307692,12,0.8846153846153846,1,1.1923076923076923
Global,13,central,10,-0.03188121493133167,64,7,0.8205128205128205,9.846153846153847,12,0.8884226884226885,1,1.1794871794871795
Global,13,central,11,-0.03188121493133167,64,7,0.8205128205128205,9.846153846153847,12,0.8884226884226885,1,1.1794871794871795
Global,13,central,12,-0.0297724205726837,64,7,0.8205128205128205,9.846153846153847,12,0.8927738927738926,1,1.1794871794871795
Global,13,central,13,-2.842170943040401e-14,64,7,0.8205128205128205,9.846153846153847,12,0.8937062937062936,1,1.1794871794871795
Global,13,central,14,0.0,62,7,0.7948717948717948,9.538461538461538,12,0.8851981351981352,1,1.205128205128205
Global,13,central,15,-0.018353213945573543,62,7,0.7948717948717948,9.538461538461538,12,0.8913752913752915,1,1.205128205128205
Global,13,central,16,-1.0,64,7,0.8205128205128205,9.846153846153847,12,0.9017871017871018,1,1.1794871794871795
Global,13,central,17,-2.842170943040401e-14,64,7,0.8205128205128205,9.846153846153847,12,0.8918414918414919,1,1.1794871794871795
Global,13,central,18,-0.0247250099645413,65,7,0.8333333333333334,10.0,12,0.8934731934731934,1,1.1666666666666667
Global,13,central,19,-0.08653121117498586,62,7,0.7948717948717948,9.538461538461538,12,0.8826728826728826,1,1.205128205128205
Global,13,central,20,-0.9325364313701954,60,7,0.7692307692307693,9.23076923076923,12,0.8661338661338662,1,1.2307692307692308
Global,13,central,21,-2.842170943040401e-14,64,7,0.8205128205128205,9.846153846153847,12,0.8918414918414919,1,1.1794871794871795
Global,13,central,22,0.0,65,7,0.8333333333333334,10.0,12,0.8941724941724941,1,1.1666666666666667
Global,13,central,23,1.4210854715202004e-14,63,7,0.8076923076923077,9.692307692307692,12,0.8911421911421912,1,1.1923076923076923
Global,13,central,24,-0.975623672919042,62,7,0.7948717948717948,9.538461538461538,12,0.8578976578976578,1,1.205128205128205
Global,13,central,25,-0.009295215085401765,63,7,0.8076923076923077,9.692307692307692,12,0.8852758352758353,1,1.1923076923076923
Global,13,central,26,-2.842170943040401e-14,61,7,0.782051282051282,9.384615384615385,12,0.8967365967365967,1,1.2179487179487178
Global,13,central,27,-0.05328238005665753,65,7,0.8333333333333334,10.0,12,0.8906759906759907,1,1.1666666666666667
Global,13,central,28,-0.060217224908754474,63,7,0.8076923076923077,9.692307692307692,12,0.8868686868686868,1,1.1923076923076923
Global,13,central,29,-0.014824402234353329,63,7,0.8076923076923077,9.692307692307692,12,0.88997668997669,1,1.1923076923076923
Global,13,central,30,-0.9226844930580427,63,7,0.8076923076923077,9.692307692307692,12,0.8904650904650905,1,1.1923076923076923
Global,13,central,31,1.4210854715202004e-14,62,7,0.7948717948717948,9.538461538461538,12,0.8927738927738929,1,1.205128205128205
Global,13,central,32,-0.005843089110072697,61,7,0.782051282051282,9.384615384615385,12,0.8837995337995339,1,1.2179487179487178
Global,13,central,33,-1.4210854715202004e-14,63,7,0.8076923076923077,9.692307692307692,12,0.8861305361305362,1,1.1923076923076923
Global,13,central,34,-2.842170943040401e-14,64,7,0.8205128205128205,9.846153846153847,12,0.8918414918414919,1,1.1794871794871795
Global,13,central,35,0.0,65,7,0.8333333333333334,10.0,12,0.8941724941724941,1,1.1666666666666667
Global,13,central,36,-0.15530268387873036,63,7,0.8076923076923077,9.692307692307692,12,0.8804195804195805,1,1.1923076923076923
Global,13,central,37,-1.00584308911003,61,7,0.782051282051282,9.384615384615385,12,0.8503441003441004,1,1.2179487179487178
Global,13,central,38,-2.842170943040401e-14,64,7,0.8205128205128205,9.846153846153847,12,0.8918414918414919,1,1.1794871794871795
Global,13,central,39,-1.8722761649200663,63,7,0.8076923076923077,9.692307692307692,12,0.8863525363525363,1,1.1923076923076923
Global,13,central,40,-0.01482440223438175,63,7,0.8076923076923077,9.692307692307692,12,0.88997668997669,1,1.1923076923076923
Global,13,central,41,0.0,65,7,0.8333333333333334,10.0,12,0.8941724941724941,1,1.1666666666666667
